"address_id","address","address2","district","city_id","postal_code","phone","location","last_update"
51.00,"686 Garland Manor","","Cear",247.00,"52535","69493378813","POINT (0 0)",9/25/2014 22:30:19
52.00,"909 Garland Manor","","Tatarstan",367.00,"69367","705800322606","POINT (51.8244755 55.6365792)",9/25/2014 22:32:55
53.00,"725 Isesaki Place","","Mekka",237.00,"74428","876295323994","POINT (39.1979758 21.5423826)",9/25/2014 22:33:00
54.00,"115 Hidalgo Parkway","","Khartum",379.00,"80168","307703950263","POINT (32.4777359 15.6445381)",9/25/2014 22:33:11
55.00,"1135 Izumisano Parkway","","California",171.00,"48150","171822533480","POINT (-117.4350521 34.0922301)",9/25/2014 22:33:50
56.00,"939 Probolinggo Loop","","Galicia",1.00,"4166","680428310138","POINT (0 0)",9/25/2014 22:33:08
57.00,"17 Kabul Boulevard","","Chiba",355.00,"38594","697760867968","POINT (139.9026668 35.8563057)",9/25/2014 22:31:51
58.00,"1964 Allappuzha (Alleppey) Street","","Yamaguchi",227.00,"48980","920811325222","POINT (132.2220908 34.1629706)",9/25/2014 22:31:47
59.00,"1697 Kowloon and New Kowloon Loop","","Moskova",49.00,"57807","499352017190","POINT (0 0)",9/25/2014 22:32:47
60.00,"1668 Saint Louis Place","","Tahiti",397.00,"39072","347487831378","POINT (-149.5665635 -17.5373362)",9/25/2014 22:31:02
61.00,"943 Tokat Street","","Vaduz",560.00,"45428","889318963672","POINT (9.5215498 47.1415115)",9/25/2014 22:31:58
62.00,"1114 Liepaja Street","","Sarawak",282.00,"69226","212869228936","POINT (110.3333389 1.5570314)",9/25/2014 22:32:00
63.00,"1213 Ranchi Parkway","","Karnataka",350.00,"94352","800024380485","POINT (766456911 13.5639657)",9/25/2014 22:31:21
64.00,"81 Hodeida Way","","Rajasthan",231.00,"55561","250767749542","POINT (75.7878198 26.9196216)",9/25/2014 22:31:17
65.00,"915 Ponce Place","","Basel-Stadt",56.00,"83980","1395251317","POINT (7.5732756 47.5583998)",9/25/2014 22:33:12
66.00,"1717 Guadalajara Lane","","Missouri",441.00,"85505","914090181665","POINT (-90.1978931 38.6272726)",9/25/2014 22:33:59
67.00,"1214 Hanoi Way","","Nebraska",306.00,"67055","491001136577","POINT (-96.6669636 40.8194939)",9/25/2014 22:33:56
68.00,"1966 Amroha Avenue","","Sichuan",139.00,"70385","333489324603","POINT (107.5009216 31.2159254)",9/25/2014 22:30:32
69.00,"698 Otsu Street","","Cayenne",105.00,"71110","409983924481","POINT (-52.3333399 4.9333377)",9/25/2014 22:31:02
70.00,"1150 Kimchon Manor","","Skne ln",321.00,"96109","663449333709","POINT (0 0)",9/25/2014 22:33:11
71.00,"1586 Guaruj Place","","Hunan",579.00,"5135","947233365992","POINT (112.9985807 27.8519136)",9/25/2014 22:30:46
72.00,"57 Arlington Manor","","Madhya Pradesh",475.00,"48960","990214419142","POINT (77.6514276 25.4308235)",9/25/2014 22:31:27
73.00,"1031 Daugavpils Parkway","","Bchar",63.00,"59025","107137400143","POINT (0 0)",9/25/2014 22:29:59
74.00,"1124 Buenaventura Drive","","Mekka",13.00,"6856","407733804223","POINT (0 0)",9/25/2014 22:32:59
75.00,"492 Cam Ranh Street","","Eastern Visayas",61.00,"50805","565018274456","POINT (124.8006205 10.6785254)",9/25/2014 22:32:34
76.00,"89 Allappuzha (Alleppey) Manor","","National Capital Reg",517.00,"75444","255800440636","POINT (0 0)",9/25/2014 22:32:39
77.00,"1947 Poos de Caldas Boulevard","","Chiayi",114.00,"60951","427454485876","POINT (120.3928389 23.4617851)",9/25/2014 22:33:14
78.00,"1206 Dos Quebradas Place","","So Paulo",431.00,"20207","241832790687","POINT (0 0)",9/25/2014 22:30:21
79.00,"1551 Rampur Lane","","Changhwa",108.00,"72394","251164340471","POINT (0 0)",9/25/2014 22:33:14
80.00,"602 Paarl Street","","Pavlodar",402.00,"98889","896314772871","POINT (77.0043801 52.2740146)",9/25/2014 22:31:55
81.00,"1692 Ede Loop","","So Paulo",30.00,"9223","918711376618","POINT (0 0)",9/25/2014 22:30:16
82.00,"936 Salzburg Lane","","Uttar Pradesh",425.00,"96709","875756771675","POINT (81.2449939 26.2191025)",9/25/2014 22:31:24
83.00,"586 Tete Way","","Kanagawa",256.00,"1079","18581624103","POINT (139.5502887 35.3088962)",9/25/2014 22:31:48
84.00,"1888 Kabul Drive","","Oyo & Osun",217.00,"20936","701457319790","POINT (0 0)",9/25/2014 22:32:24
85.00,"320 Baiyin Parkway","","Mahajanga",319.00,"37307","223664661973","POINT (46.3166743 -15.7166741)",9/25/2014 22:31:59
86.00,"927 Baha Blanca Parkway","","Krim",479.00,"9495","821972242086","POINT (34.1107975 44.9571971)",9/25/2014 22:33:33
87.00,"929 Tallahassee Loop","","Gauteng",497.00,"74671","800716535041","POINT (28.4194136 -26.2533214)",9/25/2014 22:33:06
88.00,"125 Citt del Vaticano Boulevard","","Puebla",40.00,"67912","48417642933","POINT (-98.4361382 18.9081595)",9/25/2014 22:32:02
89.00,"1557 Ktahya Boulevard","","England",88.00,"88002","720998247660","POINT (-1.7520692 53.7939173)",9/25/2014 22:33:36
90.00,"870 Ashqelon Loop","","Songkhla",489.00,"84931","135117278909","POINT (100.5951996 7.1988262)",9/25/2014 22:33:20
91.00,"1740 Portoviejo Avenue","","Sucre",480.00,"29932","198123170793","POINT (-75.3977888 9.3047285)",9/25/2014 22:30:53
92.00,"1942 Ciparay Parkway","","Cheju",113.00,"82624","978987363654","POINT (126.5461176 33.4016753)",9/25/2014 22:33:06
93.00,"1926 El Alto Avenue","","Buenos Aires",289.00,"75543","846225459260","POINT (-57.9545302 -34.9214582)",9/25/2014 22:30:05
94.00,"1952 Chatsworth Drive","","Guangdong",332.00,"25958","991562402283","POINT (116.1337663 24.3536429)",9/25/2014 22:30:40
95.00,"1370 Le Mans Avenue","","Brunei and Muara",53.00,"52163","345679835036","POINT (114.9480606 4.9402974)",9/25/2014 22:30:23
96.00,"984 Effon-Alaiye Avenue","","Gois",183.00,"17119","132986892228","POINT (0 0)",9/25/2014 22:30:17
97.00,"832 Nakhon Sawan Manor","","Inner Mongolia",592.00,"49021","275595571388","POINT (122.7166725 486172957)",9/25/2014 22:30:50
98.00,"152 Kitwe Parkway","","Caraga",82.00,"53182","835433605312","POINT (126.3163958 8.2152827)",9/25/2014 22:32:35
99.00,"1697 Tanauan Lane","","Punjab",399.00,"22870","4764773857","POINT (75.6449709 32.3316749)",9/25/2014 22:31:22
100.00,"1308 Arecibo Way","","Georgia",41.00,"30695","6171054059","POINT (-81.9748497 33.4709748)",9/25/2014 22:33:43
101.00,"1599 Plock Drive","","Tete",534.00,"71986","817248913162","POINT (33.5866733 -16.1563948)",9/25/2014 22:32:18
102.00,"669 Firozabad Loop","","Abu Dhabi",12.00,"92265","412903167998","POINT (55.7605667 24.1916795)",9/25/2014 22:33:35
103.00,"588 Vila Velha Manor","","Kyongsangbuk",268.00,"51540","333339908719","POINT (0 0)",9/25/2014 22:33:07
104.00,"1913 Kamakura Place","","Lipetsk",238.00,"97287","942570536750","POINT (0 0)",9/25/2014 22:32:49
105.00,"733 Mandaluyong Place","","Asir",2.00,"77459","196568435814","POINT (42.5052814 18.2163937)",9/25/2014 22:32:59
106.00,"659 Vaduz Drive","","Ha Darom",34.00,"49708","709935135487","POINT (0 0)",9/25/2014 22:31:40
107.00,"1177 Jelets Way","","Kwara & Kogi",220.00,"3305","484292626944","POINT (4.5546462 8.5497914)",9/25/2014 22:32:24
108.00,"1386 Yangor Avenue","","Provence-Alpes-Cte",543.00,"80720","449216226468","POINT (0 0)",9/25/2014 22:31:01
109.00,"454 Nakhon Sawan Boulevard","","Funafuti",173.00,"76383","963887147572","POINT (179.1941789 -8.5242561)",9/25/2014 22:33:31
110.00,"1867 San Juan Bautista Tuxtepec Avenue","","Ivanovo",225.00,"78311","547003310357","POINT (40.9713993 56.9971905)",9/25/2014 22:32:48
111.00,"1532 Dzerzinsk Way","","Buenos Aires",334.00,"9599","330838016880","POINT (-58.7282854 -34.6658341)",9/25/2014 22:30:06
112.00,"1002 Ahmadnagar Manor","","Mxico",213.00,"93026","371490777743","POINT (0 0)",9/25/2014 22:32:07
113.00,"682 Junan Way","","North West",273.00,"30418","622255216127","POINT (26.6667296 -26.8521304)",9/25/2014 22:33:04
114.00,"804 Elista Drive","","Hubei",159.00,"61069","379804592943","POINT (109.4833346 30.3716555)",9/25/2014 22:30:33
115.00,"1378 Alvorada Avenue","","Distrito Federal",102.00,"75834","272234298332","POINT (-66.8791948 10.4880184)",9/25/2014 22:34:03
116.00,"793 Cam Ranh Avenue","","California",292.00,"87057","824370924746","POINT (-118.1367498 34.6980486)",9/25/2014 22:33:55
117.00,"1079 Tel Aviv-Jaffa Boulevard","","Sucre",132.00,"10885","358178933857","POINT (0 0)",9/25/2014 22:34:04
118.00,"442 Rae Bareli Place","","Nordrhein-Westfalen",148.00,"24321","886636413768","POINT (6.7651616 51.4324703)",9/25/2014 22:31:04
119.00,"1107 Nakhon Sawan Avenue","","Mxico",365.00,"75149","867546627903","POINT (0 0)",9/25/2014 22:32:11
120.00,"544 Malm Parkway","","Central Java",403.00,"63502","386759646229","POINT (109.3666757 -6.9424081)",9/25/2014 22:31:34
121.00,"1967 Sincelejo Place","","Gujarat",176.00,"73644","577812616052","POINT (72.6833332 23.2166788)",9/25/2014 22:31:16
122.00,"333 Goinia Way","","Texas",185.00,"78625","909029256431","POINT (-96.9977802 32.7459686)",9/25/2014 22:33:51
123.00,"1987 Coacalco de Berriozbal Loop","","al-Qalyubiya",476.00,"96065","787654415858","POINT (31.2505396 30.1251153)",9/25/2014 22:30:58
124.00,"241 Mosul Lane","","Risaralda",147.00,"76157","765345144779","POINT (-75.6672757 4.8391685)",9/25/2014 22:30:52
125.00,"211 Chiayi Drive","","Uttar Pradesh",164.00,"58186","665993880048","POINT (79.0215973 26.7778423)",9/25/2014 22:31:15
126.00,"1175 Tanauan Way","","Lima",305.00,"64615","937222955822","POINT (-77.0282484 -12.0431865)",9/25/2014 22:32:33
127.00,"117 Boa Vista Way","","Uttar Pradesh",566.00,"6804","677976133614","POINT (83.0104161 25.3166821)",9/25/2014 22:31:29
128.00,"848 Tafuna Manor","","Ktahya",281.00,"45142","614935229095","POINT (0 0)",9/25/2014 22:33:27
129.00,"569 Baicheng Lane","","Gauteng",85.00,"60304","490211944645","POINT (28.2595823 -26.2119716)",9/25/2014 22:33:02
130.00,"1666 Qomsheh Drive","","So Paulo",410.00,"66255","582835362905","POINT (0 0)",9/25/2014 22:30:20
131.00,"801 Hagonoy Drive","","Smolensk",484.00,"8439","237426099212","POINT (32.0401193 54.7818296)",9/25/2014 22:32:57
132.00,"1050 Garden Grove Avenue","","Slaskie",236.00,"4999","973047364353","POINT (0 0)",9/25/2014 22:32:42
133.00,"1854 Tieli Street","","Shandong",302.00,"15819","509492324775","POINT (115.9776621 36.4559676)",9/25/2014 22:30:39
134.00,"758 Junan Lane","","Gois",190.00,"82639","935448624185","POINT (0 0)",9/25/2014 22:30:18
135.00,"1752 So Leopoldo Parkway","","Taka-Karpatia",345.00,"14014","252265130067","POINT (0 0)",9/25/2014 22:33:32
136.00,"898 Belm Manor","","Free State",87.00,"49757","707169393853","POINT (26.7052868 -29.2701604)",9/25/2014 22:33:02
137.00,"261 Saint Louis Way","","Coahuila de Zaragoza",541.00,"83401","321944036800","POINT (0 0)",9/25/2014 22:32:13
138.00,"765 Southampton Drive","","al-Qalyubiya",421.00,"4285","23712411567","POINT (31.2056807 30.1792216)",9/25/2014 22:30:57
139.00,"943 Johannesburg Avenue","","Maharashtra",417.00,"5892","90921003005","POINT (73.8553565 18.5195797)",9/25/2014 22:31:24
140.00,"788 Atinsk Street","","Karnataka",211.00,"81691","146497509724","POINT (758133303 15.4501336)",9/25/2014 22:31:17
141.00,"1749 Daxian Place","","Gelderland",29.00,"11044","963369996279","POINT (5.9694471 52.2194571)",9/25/2014 22:32:20
142.00,"1587 Sullana Lane","","Inner Mongolia",207.00,"85769","468060467018","POINT (111.6522231 40.8105654)",9/25/2014 22:30:35
143.00,"1029 Dzerzinsk Manor","","Ynlin",542.00,"57519","33173584456","POINT (0 0)",9/25/2014 22:33:16
144.00,"1666 Beni-Mellal Place","","Tennessee",123.00,"13377","9099941466","POINT (-87.3594586 36.5297793)",9/25/2014 22:33:48
145.00,"928 Jaffna Loop","","Hiroshima",172.00,"93762","581852137991","POINT (133.3666742 34.4833354)",9/25/2014 22:31:45
146.00,"483 Ljubertsy Parkway","","Scotland",149.00,"60562","581174211853","POINT (-2.9748951 56.4691327)",9/25/2014 22:33:36
147.00,"374 Bat Yam Boulevard","","Kilis",266.00,"97700","923261616249","POINT (37.1154257 36.7161151)",9/25/2014 22:33:26
148.00,"1027 Songkhla Manor","","Minsk",340.00,"30861","563660187896","POINT (0 0)",9/25/2014 22:30:13
149.00,"999 Sanaa Loop","","Gauteng",491.00,"3439","918032330119","POINT (28.0991912 -25.4728869)",9/25/2014 22:33:05
150.00,"879 Newcastle Way","","Michigan",499.00,"90732","206841104594","POINT (-83.0302359 42.5803102)",9/25/2014 22:34:01
151.00,"1337 Lincoln Parkway","","Saitama",555.00,"99457","597815221267","POINT (139.6452896 35.8616754)",9/25/2014 22:31:55
152.00,"1952 Pune Lane","","Saint-Denis",442.00,"92150","354615066969","POINT (0 0)",9/25/2014 22:32:46
153.00,"782 Mosul Street","","Massachusetts",94.00,"25545","885899703621","POINT (-71.0183899 42.0834357)",9/25/2014 22:33:46
154.00,"781 Shimonoseki Drive","","Michoacn de Ocampo",202.00,"95444","632316273199","POINT (0 0)",9/25/2014 22:32:06
155.00,"1560 Jelets Boulevard","","Shandong",291.00,"77777","189446090264","POINT (117.6569432 36.1927835)",9/25/2014 22:30:38
156.00,"1963 Moscow Place","","Assam",354.00,"64863","761379480249","POINT (92.6922571 26.3503746)",9/25/2014 22:31:21
157.00,"456 Escobar Way","","Jakarta Raya",232.00,"36061","719202533520","POINT (106.8451399 -6.2146236)",9/25/2014 22:31:33
158.00,"798 Cianjur Avenue","","Shanxi",590.00,"76990","499408708580","POINT (110.9927885 35.0230678)",9/25/2014 22:30:49
159.00,"185 Novi Sad Place","","Bern",72.00,"41778","904253967161","POINT (7.4474467 46.9480957)",9/25/2014 22:33:13
160.00,"1367 Yantai Manor","","Ondo & Ekiti",381.00,"21294","889538496300","POINT (5.0833356 7.1666732)",9/25/2014 22:32:26
161.00,"1386 Nakhon Sawan Boulevard","","Pyongyang-si",420.00,"53502","368899174225","POINT (125.7543291 39.0338568)",9/25/2014 22:32:28
162.00,"369 Papeete Way","","North Carolina",187.00,"66639","170117068815","POINT (-79.7919837 36.0726408)",9/25/2014 22:33:52
163.00,"1440 Compton Place","","North Austria",307.00,"81037","931059836497","POINT (0 0)",9/25/2014 22:30:10
164.00,"1623 Baha Blanca Manor","","Moskova",310.00,"81511","149981248346","POINT (0 0)",9/25/2014 22:32:54
165.00,"97 Shimoga Avenue","","Tel Aviv",533.00,"44660","177167004331","POINT (34.7805719 32.0808879)",9/25/2014 22:31:41
166.00,"1740 Le Mans Loop","","Pays de la Loire",297.00,"22853","168476538960","POINT (0.2925425 489535594)",9/25/2014 22:31:01
167.00,"1287 Xiangfan Boulevard","","Gifu",253.00,"57844","819416131190","POINT (136.8666778 35.4166765)",9/25/2014 22:31:48
168.00,"842 Salzburg Lane","","Adana",529.00,"3313","697151428760","POINT (35.6654367 37.2994811)",9/25/2014 22:33:29
169.00,"154 Tallahassee Loop","","Xinxiang",199.00,"62250","935508855935","POINT (0 0)",9/25/2014 22:30:34
170.00,"710 San Felipe del Progreso Avenue","","Lilongwe",304.00,"76901","843801144113","POINT (33.7872564 -13.9669289)",9/25/2014 22:31:59
171.00,"1540 Wroclaw Drive","","Maharashtra",107.00,"62686","182363341674","POINT (79.2960722 19.9471171)",9/25/2014 22:31:14
172.00,"475 Atinsk Way","","Gansu",240.00,"59571","201705577290","POINT (102.1937901 38.5006258)",9/25/2014 22:30:36
173.00,"1294 Firozabad Drive","","Jiangxi",407.00,"70618","161801569569","POINT (113.8700962 27.5781343)",9/25/2014 22:30:40
174.00,"1877 Ezhou Lane","","Rajasthan",550.00,"63337","264541743403","POINT (73.6918333 24.5711714)",9/25/2014 22:31:28
175.00,"316 Uruapan Street","","Perak",223.00,"58194","275788967899","POINT (101.0829914 4.5841352)",9/25/2014 22:31:59
176.00,"29 Pyongyang Loop","","Batman",58.00,"47753","734780743462","POINT (41.1322155 37.8873816)",9/25/2014 22:33:23
177.00,"1010 Klerksdorp Way","","Steiermark",186.00,"6802","493008546874","POINT (15.4512761 47.0666727)",9/25/2014 22:30:10
178.00,"1848 Salala Boulevard","","Miranda",373.00,"25220","48265851133","POINT (-66.7760937 10.1164909)",9/25/2014 22:34:04
179.00,"431 Xiangtan Avenue","","Kerala",18.00,"4854","230250973122","POINT (0 0)",9/25/2014 22:31:10
180.00,"757 Rustenburg Avenue","","Skikda",483.00,"89668","506134035434","POINT (6.9092172 36.8761757)",9/25/2014 22:30:01
181.00,"146 Johannesburg Way","","Tamaulipas",330.00,"54132","953689007081","POINT (-97.5041713 25.8797291)",9/25/2014 22:32:09
182.00,"1891 Rizhao Boulevard","","So Paulo",456.00,"47288","391065549876","POINT (0 0)",9/25/2014 22:30:21
183.00,"1089 Iwatsuki Avenue","","Kirov",270.00,"35109","866092335135","POINT (0 0)",9/25/2014 22:32:50
184.00,"1410 Benin City Parkway","","Risaralda",405.00,"29747","104150372603","POINT (-75.6961154 4.8133305)",9/25/2014 22:30:52
185.00,"682 Garden Grove Place","","Tennessee",333.00,"67497","72136330362","POINT (-90.0489828 35.1495346)",9/25/2014 22:33:57
186.00,"533 al-Ayn Boulevard","","California",126.00,"8862","662227486184","POINT (-118.2200788 33.8958567)",9/25/2014 22:33:48
187.00,"1839 Szkesfehrvr Parkway","","Gois",317.00,"55709","947468818183","POINT (0 0)",9/25/2014 22:30:20
188.00,"741 Ambattur Manor","","Noord-Brabant",438.00,"43310","302590383819","POINT (5.3041706 51.6991772)",9/25/2014 22:32:21
189.00,"927 Barcelona Street","","Chaharmahal va Bakht",467.00,"65121","951486492670","POINT (0 0)",9/25/2014 22:31:38
190.00,"435 0 Way","","West Bengali",195.00,"74750","760171523969","POINT (88.1097549 22.0604684)",9/25/2014 22:31:16
191.00,"140 Chiayi Parkway","","Sumy",506.00,"38982","855863906434","POINT (34.8002989 50.9216315)",9/25/2014 22:33:34
192.00,"1166 Changhwa Street","","Caraga",62.00,"58852","650752094490","POINT (125.7675248 8.7561117)",9/25/2014 22:32:34
193.00,"891 Novi Sad Manor","","Ontario",383.00,"5379","247646995453","POINT (-78.8495705 43.9001243)",9/25/2014 22:30:28
194.00,"605 Rio Claro Parkway","","Tabora",513.00,"49348","352469351088","POINT (32.8266393 -5.0162258)",9/25/2014 22:33:18
195.00,"1077 San Felipe de Puerto Plata Place","","Rostov-na-Donu",369.00,"65387","812824036424","POINT (0 0)",9/25/2014 22:32:56
196.00,"9 San Miguel de Tucumn Manor","","Uttar Pradesh",169.00,"90845","956188728558","POINT (78.4018032 27.1494196)",9/25/2014 22:31:15
197.00,"447 Surakarta Loop","","Nyanza",271.00,"10428","940830176580","POINT (0 0)",9/25/2014 22:31:56
198.00,"345 Oshawa Boulevard","","Tokyo-to",204.00,"32114","104491201771","POINT (139.4002884 35.6730684)",9/25/2014 22:31:45
199.00,"1792 Valle de la Pascua Place","","Nordrhein-Westfalen",477.00,"15540","419419591240","POINT (8.0243129 50.8748198)",9/25/2014 22:31:06
200.00,"1074 Binzhou Manor","","Baden-Wrttemberg",325.00,"36490","331132568928","POINT (0 0)",9/25/2014 22:31:05
201.00,"817 Bradford Loop","","Jiangsu",109.00,"89459","264286442804","POINT (119.9540109 31.7735997)",9/25/2014 22:30:31
202.00,"955 Bamenda Way","","Ondo & Ekiti",218.00,"1545","768481779568","POINT (0 0)",9/25/2014 22:32:24
203.00,"1149 A Corua (La Corua) Boulevard","","Haiphong",194.00,"95824","470884141195","POINT (106.6834545 20.8648139)",9/25/2014 22:34:06
204.00,"387 Mwene-Ditu Drive","","Ahal",35.00,"8073","764477681869","POINT (58.3833386 37.9575146)",9/25/2014 22:33:30
205.00,"68 Molodetno Manor","","Nordrhein-Westfalen",575.00,"4662","146640639760","POINT (7.3525872 51.4436286)",9/25/2014 22:31:06
206.00,"642 Nador Drive","","Maharashtra",77.00,"3924","369050085652","POINT (75.7817558 21.0465825)",9/25/2014 22:31:13
207.00,"1688 Nador Lane","","Sulawesi Utara",184.00,"61613","652218196731","POINT (122.3166772 0.7726177)",9/25/2014 22:31:32
208.00,"1215 Pyongyang Parkway","","Usak",557.00,"25238","646237101779","POINT (29.4058642 38.6735189)",9/25/2014 22:33:30
209.00,"1679 Antofagasta Street","","Alto Paran",122.00,"86599","905903574913","POINT (0 0)",9/25/2014 22:32:32
210.00,"1304 s-Hertogenbosch Way","","Santa Catarina",83.00,"10925","90336226227","POINT (-49.0661132 -26.9194492)",9/25/2014 22:30:16
211.00,"850 Salala Loop","","Kitaa",371.00,"10800","403404780639","POINT (0 0)",9/25/2014 22:31:07
